ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,boro_code_,shape_leng_left,shape_area,shape_leng_right,borough
10021,10021,B5,G6350,S,986790,0,40.7692245,-73.9587405,1,361212.4761,636602658.9,361212.4761,Manhattan
10022,10022,B5,G6350,S,1107168,0,40.7586304,-73.9679488,1,361212.4761,636602658.9,361212.4761,Manhattan
10023,10023,B5,G6350,S,1269195,0,40.7759149,-73.9826023,1,361212.4761,636602658.9,361212.4761,Manhattan
10024,10024,B5,G6350,S,2222642,0,40.798452,-73.9744135,1,361212.4761,636602658.9,361212.4761,Manhattan
10025,10025,B5,G6350,S,1946733,0,40.7986013,-73.9666222,1,361212.4761,636602658.9,361212.4761,Manhattan
10026,10026,B5,G6350,S,860743,0,40.8023805,-73.9526814,1,361212.4761,636602658.9,361212.4761,Manhattan
10027,10027,B5,G6350,S,2250650,1032,40.8114075,-73.9530604,1,361212.4761,636602658.9,361212.4761,Manhattan
10028,10028,B5,G6350,S,811365,0,40.7764417,-73.9535134,1,361212.4761,636602658.9,361212.4761,Manhattan
10029,10029,B5,G6350,S,2102364,0,40.7917631,-73.9439702,1,361212.4761,636602658.9,361212.4761,Manhattan
10030,10030,B5,G6350,S,722535,0,40.8182668,-73.9428558,1,361212.4761,636602658.9,361212.4761,Manhattan
10031,10031,B5,G6350,S,1681546,0,40.8252881,-73.9500452,1,361212.4761,636602658.9,361212.4761,Manhattan
10032,10032,B5,G6350,S,1695753,0,40.8387917,-73.9428296,1,361212.4761,636602658.9,361212.4761,Manhattan
10033,10033,B5,G6350,S,1544119,0,40.850482,-73.9340509,1,361212.4761,636602658.9,361212.4761,Manhattan
10034,10034,B5,G6350,S,2823927,11193,40.8670761,-73.924312,1,361212.4761,636602658.9,361212.4761,Manhattan
10035,10035,B5,G6350,S,3689136,0,40.7954584,-73.9295703,1,361212.4761,636602658.9,361212.4761,Manhattan
10036,10036,B5,G6350,S,1137632,0,40.7592544,-73.9898269,1,361212.4761,636602658.9,361212.4761,Manhattan
10037,10037,B5,G6350,S,666603,0,40.8129604,-73.9373761,1,361212.4761,636602658.9,361212.4761,Manhattan
10038,10038,B5,G6350,S,773837,0,40.7093384,-74.0025397,1,361212.4761,636602658.9,361212.4761,Manhattan
10039,10039,B5,G6350,S,1132696,0,40.830869,-73.9362162,1,361212.4761,636602658.9,361212.4761,Manhattan
10040,10040,B5,G6350,S,988490,0,40.8583145,-73.9304937,1,361212.4761,636602658.9,361212.4761,Manhattan
10044,10044,B5,G6350,S,595885,0,40.7619065,-73.9499671,1,361212.4761,636602658.9,361212.4761,Manhattan
10301,10301,B5,G6350,S,9189255,12647,40.6275046,-74.0943767,5,325956.009,1623757283,325956.009,Staten Island
10302,10302,B5,G6350,S,3079121,0,40.6307157,-74.1377294,5,325956.009,1623757283,325956.009,Staten Island
10303,10303,B5,G6350,S,8141997,73294,40.6298846,-74.1741296,5,325956.009,1623757283,325956.009,Staten Island
10304,10304,B5,G6350,S,9655859,19194,40.605965,-74.0935352,5,325956.009,1623757283,325956.009,Staten Island
10305,10305,B5,G6350,S,10304611,44453,40.5965488,-74.0757794,5,325956.009,1623757283,325956.009,Staten Island
10306,10306,B5,G6350,S,19359797,152157,40.5717679,-74.1259504,5,325956.009,1623757283,325956.009,Staten Island
10307,10307,B5,G6350,S,4764130,18350,40.5088387,-74.240575,5,325956.009,1623757283,325956.009,Staten Island
10308,10308,B5,G6350,S,5097987,12014,40.551884,-74.1476456,5,325956.009,1623757283,325956.009,Staten Island
10309,10309,B5,G6350,S,17239616,102043,40.5313464,-74.219857,5,325956.009,1623757283,325956.009,Staten Island
